target,architecture,hidden_layer_sizes,n_hidden_layers,alpha,weights,biases,trainable_parameters,n_folds,mean_r2,sd_r2,se_r2,mean_mae,sd_mae,se_mae,mean_rmse,sd_rmse,se_rmse,mean_fit_seconds,sd_fit_seconds,se_fit_seconds,mean_epochs,sd_epochs,se_epochs,mean_final_scaled_loss,sd_final_scaled_loss,se_final_scaled_loss,mean_best_internal_validation_score,sd_best_internal_validation_score,se_best_internal_validation_score
target_fodft_coupling_abs_ev,32,"(32,)",1,0.0001,640,33,673,5,0.8774238723113179,0.04491018546716097,0.020084445517339015,0.05024759405690379,0.001988718342486566,0.0008893818803801339,0.07623063118622206,0.01364186041610541,0.006100825445995052,1.081798023590818,0.2653861936579614,0.11868431386182504,260.6,29.074043406447615,13.002307487519282,0.0308045302286185,0.0023650237644072323,0.0010576707811234037,0.8864958304302852,0.02468323199894338,0.011038676930807081
target_fodft_coupling_abs_ev,32,"(32,)",1,0.001,640,33,673,5,0.8714145617771585,0.05261482503948975,0.023530065082511428,0.05087976059981285,0.002779789387289424,0.0012431596066223283,0.07789028014344926,0.015445458432082169,0.00690741899955661,1.0971371924038977,0.33971075653120036,0.15192326885832894,241.6,56.033918299544254,25.059130072690074,0.03283772315204312,0.002899578215314705,0.0012967307991042405,0.8848514319323749,0.028141760825586313,0.01258537804251032
target_fodft_coupling_abs_ev,16,"(16,)",1,0.01,320,17,337,5,0.8843134494955173,0.03248608278154583,0.014528217884444384,0.05191553247562628,0.0028078559132451724,0.0012557113386081915,0.07432663410304258,0.010530248508404526,0.004709270296951657,1.4316638327902182,0.5830821627153758,0.26076227045983474,398.6,157.8917350591854,70.61133053554506,0.03741773697493251,0.005395721837910855,0.0024130401634497546,0.8736521616125131,0.02504922149029616,0.011202352407150161
target_fodft_coupling_abs_ev,16,"(16,)",1,0.0001,320,17,337,5,0.8855191954859144,0.022950966674700108,0.010263984326792349,0.052469794713184116,0.0022645619705876814,0.001012742901098987,0.0741809405815925,0.007705174952463899,0.0034458589944475976,1.0982367330230773,0.42210812033187,0.18877249018334447,323.6,121.40963717926184,54.296040371283055,0.03653925780039537,0.0047113201797063615,0.00210696643711799,0.8690527421857535,0.021290449303177996,0.009521378382683805
target_fodft_coupling_abs_ev,16,"(16,)",1,0.001,320,17,337,5,0.8806760108509056,0.026959432936010285,0.012056624935953147,0.052960805138143885,0.0018473834146270325,0.0008261749791223448,0.0756827438003038,0.008839640223931022,0.003953207287470246,1.015539636579342,0.4506635017477588,0.20154284497721678,302.4,129.91266297016625,58.09870910786229,0.037939680379237964,0.0047420149323920335,0.002120693547829531,0.8675010537501642,0.02185064721952818,0.009771906507046357
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.0001,3792,113,3905,5,0.7685414191421048,0.26692722986445544,0.11937348620452687,0.05639589137257661,0.009867901889765975,0.0044130598841630704,0.09610125385973754,0.051540979055683014,0.023049826559080028,7.099464212008752,2.489562323563512,1.1133661179420677,52.6,22.567675999092152,10.092571525632106,0.026130330997558383,0.004950213058160868,0.002213802580230964,0.8363313859220085,0.06832495246062299,0.030555847652278905
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.01,3792,113,3905,5,0.7605476879193847,0.2673396725165186,0.11955793616589355,0.05750401783254846,0.010592067992417357,0.0047369168106689875,0.09814277247830556,0.05140313415887592,0.022988180447157607,10.473981331801042,8.637692786830057,3.8628936480223213,57.6,38.3835902437487,17.165663401103963,0.03458688844570441,0.006260970126695069,0.0027999909616771286,0.831399484272841,0.06693231067671779,0.029933039312855184
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.001,3792,113,3905,5,0.7600455920330236,0.2657761221939117,0.11885869520437542,0.05774771673445399,0.010185315364413602,0.004555011505420371,0.09842276868485986,0.051008528719862375,0.022811707529972518,9.260313345002942,6.9209079728324925,3.095124138654744,58.6,40.611574704756286,18.162048342629202,0.02681696017930609,0.00666831244206901,0.0029821599831347865,0.8331162008720616,0.06799843284405399,0.030409823640551815
target_frontier_gap_ev,128-64-32,"(128, 64, 32)",3,0.01,12704,225,12929,5,0.9699832690053727,0.004406182498089904,0.0019705047173997725,0.0449773643659809,0.0014151861621234003,0.0006328904918649922,0.06299632499926597,0.004266951465929961,0.001908238706902354,35.50807405898813,7.789513828050458,3.483576486239086,123.8,21.17073451725282,9.4678403028357,0.013050967167970861,0.0019654936284163984,0.0008789954724963558,0.9715003445789334,0.006438091387681866,0.0028792019976425207
target_frontier_gap_ev,128-64-32,"(128, 64, 32)",3,0.0001,12704,225,12929,5,0.9680973906195287,0.005343439672583481,0.0023896588683131764,0.04566482865152014,0.0020595791899921116,0.0009210718147732632,0.06493322441159403,0.005196062395646027,0.0023237497463989847,23.378220212389714,8.282647389761502,3.7041125194335827,98.8,33.32716609614445,14.904361777681057,0.004712343182731233,0.0012317130711823683,0.0005508388311877625,0.9705910800964406,0.0069100300277599195,0.003090259373727188
