target,architecture,alpha,train_fraction,fold,n_training_structures,n_validation_structures,fit_seconds,epochs,r2,mae,rmse
target_frontier_gap_ev,128-64-32,0.01,1.0,1,1755,439,22.212938860990107,112,0.9702606732983109,0.043359145774987035,0.06190703703465585
target_frontier_gap_ev,128-64-32,0.01,1.0,2,1755,439,21.561054585967213,110,0.9685585446428623,0.046829297671254135,0.06398435997284031
target_frontier_gap_ev,128-64-32,0.01,1.0,3,1755,439,16.249062014976516,151,0.9750768540277186,0.04385240368008407,0.05850743250512402
target_frontier_gap_ev,128-64-32,0.01,1.0,4,1755,439,20.64950191800017,104,0.9634373981668874,0.04503567424675173,0.06976240793307807
target_frontier_gap_ev,128-64-32,0.01,1.0,5,1756,438,17.835549071081914,142,0.9725828748910842,0.04581030045682752,0.06082038755063158
target_interaction_energy_kcal_mol,128-64-32,0.01,0.25,1,438,439,7.3601380590116605,89,0.8864191753984942,1.2002847034136033,1.6757846743445624
target_interaction_energy_kcal_mol,128-64-32,0.01,0.25,2,438,439,8.02991020900663,131,0.8369631604728135,1.1748904868761454,1.9764100046284943
target_interaction_energy_kcal_mol,128-64-32,0.01,0.25,3,438,439,6.730871541891247,114,0.8475533816435056,1.3002982126342544,1.8912300560505964
target_interaction_energy_kcal_mol,128-64-32,0.01,0.25,4,438,439,5.86666820209939,71,-11.596323103052516,2.0995562993594166,17.01375269169839
target_interaction_energy_kcal_mol,128-64-32,0.01,0.25,5,439,438,13.945770372985862,126,0.9004648737228051,1.124351025794108,1.533726683942954
target_interaction_energy_kcal_mol,128-64-32,0.01,0.5,1,877,439,12.36112617503386,49,0.9003135035330991,1.1319367774655664,1.569942954032416
target_interaction_energy_kcal_mol,128-64-32,0.01,0.5,2,877,439,29.419701699982397,208,0.8980410318798997,1.0245867620459037,1.5629564800790645
target_interaction_energy_kcal_mol,128-64-32,0.01,0.5,3,877,439,12.246254791039973,58,0.9048188697478649,1.0622631053231633,1.494379469845879
target_interaction_energy_kcal_mol,128-64-32,0.01,0.5,4,877,439,19.5122420740081,107,0.8991329957783663,1.0332320630018779,1.5224841528604316
target_interaction_energy_kcal_mol,128-64-32,0.01,0.5,5,878,438,24.762492383946665,149,0.9227041674706514,0.9777039564091465,1.3515677711924174
target_interaction_energy_kcal_mol,128-64-32,0.01,0.75,1,1316,439,27.74588532699272,189,0.9397543153133319,0.873101386757636,1.2204744099746698
target_interaction_energy_kcal_mol,128-64-32,0.01,0.75,2,1316,439,23.5169626979623,95,0.9322300371096592,0.8843487351600854,1.2742445758451741
target_interaction_energy_kcal_mol,128-64-32,0.01,0.75,3,1316,439,26.45982453005854,120,0.94090628699447,0.85767197451167,1.177486951121958
target_interaction_energy_kcal_mol,128-64-32,0.01,0.75,4,1316,439,21.238410799996927,105,0.9089045308843755,0.9630917445597735,1.446860325700524
target_interaction_energy_kcal_mol,128-64-32,0.01,0.75,5,1317,438,24.949470004998147,128,0.9283577235316055,0.9164483080387498,1.3012012634949286
target_interaction_energy_kcal_mol,128-64-32,0.01,1.0,1,1755,439,30.409684047917835,165,0.9460687028582858,0.8580705306713762,1.1547451280989547
target_interaction_energy_kcal_mol,128-64-32,0.01,1.0,2,1755,439,25.061386518063955,173,0.939630292587642,0.835866058691212,1.2026623217795447
target_interaction_energy_kcal_mol,128-64-32,0.01,1.0,3,1755,439,23.834931600023992,133,0.9360072445024739,0.8531897655954381,1.225323800348787
