target,architecture,hidden_layer_sizes,n_hidden_layers,alpha,weights,biases,trainable_parameters,fold,n_fold_train,n_fold_validation,fit_seconds,epochs,final_scaled_loss,best_internal_validation_score,r2,mae,rmse
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.0001,3792,113,3905,2,1755,439,11.437880716985092,92,0.01792145237021587,0.9234868660367559,0.9191872634968469,0.0447230301674508,0.06125927025376235
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.0001,3792,113,3905,3,1755,439,6.06374335300643,46,0.026650288903697427,0.8629326192967388,0.8749619400742212,0.05449494913577588,0.0780458468772072
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.0001,3792,113,3905,4,1755,439,5.601328138029203,37,0.030388993871540513,0.7419049252740575,0.2924123899994685,0.07164017372014284,0.18726649930949057
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.0001,3792,113,3905,5,1756,438,5.481475874083117,39,0.029626309271718214,0.8015037141616055,0.8660725690812301,0.05837572621211485,0.08158318005629402
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.001,3792,113,3905,1,1755,439,5.763990405015647,40,0.029916007568566463,0.8445368811766474,0.8487002359732537,0.06051401851764756,0.0848817219547635
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.001,3792,113,3905,2,1755,439,21.433117805048823,131,0.015093748122228407,0.9249076329338922,0.9237728076638878,0.04344322895405412,0.059495877499406845
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.001,3792,113,3905,3,1755,439,8.345101044978946,46,0.02776804032137834,0.8532583963996015,0.875102434997835,0.054641596953501716,0.07800198772279403
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.001,3792,113,3905,4,1755,439,5.034597118967213,37,0.03114599667456007,0.7404132684518532,0.28724332505604466,0.07162028846965307,0.1879492637242566
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.001,3792,113,3905,5,1756,438,5.724760351004079,39,0.030161008209797176,0.8024648253983137,0.8654091564740964,0.05851945077741351,0.0817849925230783
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.01,3792,113,3905,1,1755,439,7.812402699957602,40,0.03732389627280129,0.8432907297700971,0.8490266252668235,0.060638624849601266,0.08479011757302551
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.01,3792,113,3905,2,1755,439,25.838859787094407,126,0.023659680566707808,0.9206862695650533,0.9268112137325516,0.04232044833221598,0.05829807101508842
target_fodft_coupling_abs_ev,64-32-16,"(64, 32, 16)",3,0.01,3792,113,3905,3,1755,439,7.227606681990437,46,0.035125848681726815,0.8513136947879978,0.8760455529122828,0.054491849718882934,0.07770692803255395
