scheme,model_family,target,system,n,model_r2,model_mae
geometry_clustered,mlp,target_interaction_energy_kcal_mol,phenalenyl_olympicenyl,96,0.7985746080344853,0.7830186237728802
geometry_clustered,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,CPBP,119,0.701516555904464,1.4299832537856827
geometry_clustered,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,fluorenyl,55,0.8632135340275112,0.8668563737803041
geometry_clustered,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,olympicenyl,80,0.896150840874643,1.409013928687583
geometry_clustered,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl,38,0.8882758783751765,2.759469104305941
geometry_clustered,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl_olympicenyl,96,0.9210331466087419,0.3577349443109199
random,extra_trees,target_fodft_coupling_abs_ev,CPBP,119,0.9424746496966908,0.034878745406887963
random,extra_trees,target_fodft_coupling_abs_ev,fluorenyl,55,0.9392275655559851,0.03363254145224214
random,extra_trees,target_fodft_coupling_abs_ev,olympicenyl,80,0.9524705340729226,0.035900680431111144
random,extra_trees,target_fodft_coupling_abs_ev,phenalenyl,38,0.9813688336555252,0.034081608884707654
random,extra_trees,target_fodft_coupling_abs_ev,phenalenyl_olympicenyl,96,0.9597502936273148,0.02991878597918954
random,extra_trees,target_frontier_gap_ev,CPBP,119,0.49446697492516556,0.03132024288515463
random,extra_trees,target_frontier_gap_ev,fluorenyl,55,0.5906740380057167,0.04898523545454441
random,extra_trees,target_frontier_gap_ev,olympicenyl,80,0.8120325202280952,0.031631098333332906
random,extra_trees,target_frontier_gap_ev,phenalenyl,38,0.8345359190546379,0.04834439447368393
random,extra_trees,target_frontier_gap_ev,phenalenyl_olympicenyl,96,0.8125543924254424,0.03469808437499948
random,extra_trees,target_interaction_energy_kcal_mol,CPBP,119,0.8814508769317779,0.7982774579343097
random,extra_trees,target_interaction_energy_kcal_mol,fluorenyl,55,0.75320611185846,0.8744345846112256
random,extra_trees,target_interaction_energy_kcal_mol,olympicenyl,80,0.861593363168718,0.87205417736597
random,extra_trees,target_interaction_energy_kcal_mol,phenalenyl,38,0.8250412613235265,0.9482346702019185
random,extra_trees,target_interaction_energy_kcal_mol,phenalenyl_olympicenyl,96,0.9176486328980138,0.6501691567966108
random,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,CPBP,119,0.9595375294415192,0.5008505990409494
random,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,fluorenyl,55,0.8882105952416004,0.6905048502806593
random,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,olympicenyl,80,0.9787688442194901,0.5610104736346064
random,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl,38,0.9800218592418738,0.6943050532922485
random,extra_trees,target_somo_somo_elst_corrected_signed_kcal_mol,phenalenyl_olympicenyl,96,0.9720901758181552,0.44702303854347675
random,mlp,target_fodft_coupling_abs_ev,CPBP,119,0.9032727711734538,0.04759273585733662
random,mlp,target_fodft_coupling_abs_ev,fluorenyl,55,0.9380749605177601,0.037355447174072576
random,mlp,target_fodft_coupling_abs_ev,olympicenyl,80,0.9481936185282267,0.037440240076792065
random,mlp,target_fodft_coupling_abs_ev,phenalenyl,38,0.9695365686111475,0.041470877730518656
random,mlp,target_fodft_coupling_abs_ev,phenalenyl_olympicenyl,96,0.9505162734310892,0.03737028710205424
random,mlp,target_frontier_gap_ev,CPBP,119,0.14416104256254836,0.04232833974995036
random,mlp,target_frontier_gap_ev,fluorenyl,55,0.5161029932662679,0.05997924994289972
random,mlp,target_frontier_gap_ev,olympicenyl,80,0.8035609063753427,0.0334416155522516
random,mlp,target_frontier_gap_ev,phenalenyl,38,0.8145465049330693,0.056193584489129124
random,mlp,target_frontier_gap_ev,phenalenyl_olympicenyl,96,0.7755903120854486,0.04060117150227435
random,mlp,target_interaction_energy_kcal_mol,CPBP,119,0.8402521048439352,1.0033230949132514
random,mlp,target_interaction_energy_kcal_mol,fluorenyl,55,0.7580426032396606,0.9528444884141655
random,mlp,target_interaction_energy_kcal_mol,olympicenyl,80,0.8815119657404005,0.8588586744296226
random,mlp,target_interaction_energy_kcal_mol,phenalenyl,38,0.8189502420182599,0.9404328982366362
random,mlp,target_interaction_energy_kcal_mol,phenalenyl_olympicenyl,96,0.8692302394354876,0.7820774630098675
random,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,CPBP,119,0.9265304346886627,0.6763821273928023
random,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,fluorenyl,55,0.9490181688470547,0.4855363513560377
random,mlp,target_somo_somo_elst_corrected_signed_kcal_mol,olympicenyl,80,0.9748180494768904,0.5975524595498951
