target,model_family,importance_type,feature,importance,importance_std,best_model,best_feature_group
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,delta_contact_region_bla,0.010143797677563519,0.0005282616128642812,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_frontier_gap_ev,mlp,permutation_neg_mae_drop,contact_density_3p6_per_overlap_area,0.0001574714401888229,6.839991236979592e-05,mlp_64_32_16_a1e-3,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,mean_top10_closest_c_distances,1.5278983344023653,0.031047922201828834,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,projected_pi_overlap_fraction_min,1.445466632046586,0.035619037547786586,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,n_interfragment_c_contacts_3p4,1.0277103333164221,0.02395321302978517,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,contact_min_cc_distance,1.021280960084415,0.018826723334845235,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,stack_lateral_slip,0.9219582298967577,0.02274862104553674,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,contact_interfragment_distance_std,0.8482693643628629,0.021769813594405482,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,delta_overlap_fraction,0.715595646305371,0.023153197893708045,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
target_somo_somo_elst_corrected_signed_kcal_mol,mlp,permutation_neg_mae_drop,stack_plane_normal_angle_deg,0.7004284264618614,0.025577627643987626,mlp_64_64_32_16_a1e-4,core15_plus_asymmetry19
