target,n_estimators,min_samples_leaf,n_folds,mean_r2,sd_r2,se_r2,mean_mae,sd_mae,se_mae,mean_rmse,sd_rmse,se_rmse,mean_fit_seconds,sd_fit_seconds,se_fit_seconds,mean_nodes_total,sd_nodes_total,se_nodes_total,mean_leaves_total,sd_leaves_total,se_leaves_total,mean_mean_tree_depth,sd_mean_tree_depth,se_mean_tree_depth
target_fodft_coupling_abs_ev,750,5,5,0.920452272522739,0.015695039997875502,0.007019035268965555,0.041873365407220524,0.0022005270710334134,0.000984105623431844,0.06184400261254328,0.006539781157354226,0.0029246790451632593,2.141135593992658,0.004701031073652336,0.0021023650090050885,407656.4,321.0059189485453,143.558211189747,204203.2,160.50295947427264,71.7791055948735,18.0664,0.11727422753718998,0.05244662895638691
target_fodft_coupling_abs_ev,100,5,5,0.9216149753472953,0.013855631272201418,0.006196426679162852,0.04188178710078859,0.002145422646390151,0.0009594621755591743,0.061430477720664366,0.005823854898696614,0.002604507088916156,0.2891448771813884,0.0011952553424238893,0.0005345344392259209,54402.4,54.925403958459874,24.56338738855046,27251.2,27.462701979229937,12.28169369427523,17.918,0.13255187663703621,0.059279001341115835
target_fodft_coupling_abs_ev,300,5,5,0.9203769770386103,0.015272469230920354,0.006830055876922369,0.04193008819518369,0.0021256355751073995,0.000950613128266401,0.061883125354514124,0.006342805223391612,0.0028365887295088766,0.8607210114132613,0.0014803137476987222,0.0006620164335763632,163106.8,137.07370280254344,61.30122347881811,81703.4,68.53685140127172,30.650611739409054,18.069333333333333,0.09346419397585044,0.041798458238445586
target_fodft_coupling_abs_ev,500,5,5,0.9202337358545444,0.015558667927666504,0.006958047825121616,0.041931406230360735,0.0021870305930682186,0.0009780698149944435,0.06193355419658477,0.006477504161490347,0.0028968279259260384,1.4307786151766777,0.002960180749291522,0.001323833076220421,271788.4,220.67351449596305,98.68819584935171,136144.2,110.33675724798152,49.34409792467586,18.078,0.12412090879461087,0.055508557898760275
target_fodft_coupling_abs_ev,200,5,5,0.9207791766446001,0.0145973789378062,0.006528146319651667,0.04193936313662121,0.0021245876328828328,0.0009501444742562763,0.0617415050911828,0.006112899076857035,0.002733771575089608,0.577434888551943,0.0017547385850510586,0.0007847429517831927,108762.4,119.82821036800976,53.58880480100298,54481.2,59.91410518400488,26.79440240050149,18.047,0.14171273760675243,0.06337586291325785
target_fodft_coupling_abs_ev,50,5,5,0.9193467185572363,0.014437796826846728,0.006456779030032008,0.04235686719531954,0.0022285851495183204,0.0009966535775938995,0.06230780381513743,0.005987427446720319,0.0026776589562429263,0.14729058076627552,0.001332255671571227,0.0005958028490085796,27203.6,57.29572409874929,25.623426780975255,13626.8,28.647862049374645,12.811713390487627,17.82,0.29291637031753576,0.13099618315050232
target_fodft_coupling_abs_ev,1000,10,5,0.8919569960713887,0.024330113842266292,0.010880757690323204,0.04800842844253724,0.0027948463182115827,0.0012498932708372213,0.07198409334970202,0.008714264650144535,0.00389713762632932,2.193418096587993,0.0046414804848875805,0.002075733176089463,257625.2,227.91489639775634,101.92664028604102,129312.6,113.95744819887817,50.96332014302051,14.6072,0.10978023501523404,0.04909521361599319
target_fodft_coupling_abs_ev,750,10,5,0.8918974378056092,0.02437193795048301,0.010899462000137384,0.0480234178429909,0.0028223564277207393,0.001262196165823409,0.07200330476008363,0.008722811283349818,0.0039009597968944743,1.6411895775934682,0.0072762796964524834,0.0032540512049138576,193183.6,206.10385731470433,92.17244707611923,96966.8,103.05192865735216,46.08622353805961,14.613866666666667,0.10941297912039542,0.04893097178679386
target_fodft_coupling_abs_ev,500,10,5,0.891805943309867,0.02441713142213294,0.010919673135087073,0.04808101498850138,0.0028283035489130694,0.0012648557992747049,0.07203275853017425,0.008728233873731573,0.0039033848530360227,1.0974503142060712,0.0020213626412677764,0.0009039808546106539,128799.6,146.59740788977135,65.56035387335854,64649.8,73.29870394488567,32.78017693667927,14.609599999999997,0.09809587147275937,0.04386980738503447
target_fodft_coupling_abs_ev,100,10,5,0.8918670409679728,0.023584844744476034,0.010547463217485413,0.04810781667181049,0.002705695173626109,0.001210023666924215,0.0720322484006899,0.008478656182850356,0.003791770316540456,0.22235528281889855,0.0007423110294456769,0.0003319715844576763,25761.6,18.46076921474292,8.255906976220116,12930.8,9.23038460737146,4.127953488110058,14.475999999999999,0.16211107303327574,0.07249827584156751
