target,n_estimators,min_samples_leaf,fold,n_fold_train,n_fold_validation,fit_seconds,nodes_total,leaves_total,mean_tree_depth,r2,mae,rmse
target_interaction_energy_kcal_mol,750,3,5,1756,438,2.6576516369823366,719606,360178,20.633333333333333,0.9425177273936405,0.8254190805673467,1.1655388461067675
target_interaction_energy_kcal_mol,750,5,1,1755,439,2.0991827509133145,407512,204131,17.78,0.9450901879827521,0.8608092751556651,1.165173729025432
target_interaction_energy_kcal_mol,750,5,2,1755,439,2.1020187130197883,407386,204068,17.730666666666668,0.9314625412693831,0.8913496864714144,1.2814396814383846
target_interaction_energy_kcal_mol,750,5,3,1755,439,2.096579991048202,407918,204334,17.776,0.9274631033323071,0.9138974778443897,1.3045626768188856
target_interaction_energy_kcal_mol,750,5,4,1755,439,2.098021903075278,408014,204382,17.886666666666667,0.9137770922061129,0.9605654883454124,1.4076333645346222
target_interaction_energy_kcal_mol,750,5,5,1756,438,2.087830519070849,407440,204095,17.861333333333334,0.9322642417534501,0.9116641123967314,1.265227975445644
target_interaction_energy_kcal_mol,750,10,1,1755,439,1.5902736890129745,192902,96826,14.213333333333333,0.9233708873174293,1.0118717235386656,1.3764568582132883
target_interaction_energy_kcal_mol,750,10,2,1755,439,1.59407456102781,192892,96821,14.146666666666667,0.9130129846667552,1.0414882832788857,1.4436482360335454
target_interaction_energy_kcal_mol,750,10,3,1755,439,1.5950687179574743,193318,97034,14.182666666666666,0.9012663943145975,1.0774813175711269,1.5220115998989059
target_interaction_energy_kcal_mol,750,10,4,1755,439,1.6130105229094625,192756,96753,14.198666666666666,0.8951109142418656,1.1023264559879795,1.5525420428095726
target_interaction_energy_kcal_mol,750,10,5,1756,438,1.593500797986053,193020,96885,14.309333333333333,0.9096497222624751,1.0531218925349966,1.4612500318080155
target_interaction_energy_kcal_mol,1000,1,1,1755,439,7.048920050030574,3509000,1755000,27.691,0.9578319679156624,0.7288691515265951,1.021074363820527
target_interaction_energy_kcal_mol,1000,1,2,1755,439,7.048066876013763,3509000,1755000,27.2,0.9497351528133872,0.7365422938306243,1.0974035302420044
target_interaction_energy_kcal_mol,1000,1,3,1755,439,6.989773761015385,3509000,1755000,27.86,0.9481693701554383,0.745229667341279,1.1027541653216308
target_interaction_energy_kcal_mol,1000,1,4,1755,439,6.992656424990855,3509000,1755000,27.783,0.9320355121181167,0.8120080404245944,1.249738773369208
target_interaction_energy_kcal_mol,1000,1,5,1756,438,6.935570243978873,3511000,1756000,27.571,0.9487922621393223,0.752966173599532,1.1000883947121758
target_interaction_energy_kcal_mol,1000,2,1,1755,439,4.389677606988698,1519314,760157,23.106,0.9555594280935403,0.7566749668924613,1.048227442412373
target_interaction_energy_kcal_mol,1000,2,2,1755,439,4.378374736988917,1520908,760954,22.807,0.9449209971344423,0.7705062700807932,1.1487544435703032
target_interaction_energy_kcal_mol,1000,2,3,1755,439,4.380749254021794,1519860,760430,23.342,0.9436679879448369,0.7781380341415961,1.1496432544784982
target_interaction_energy_kcal_mol,1000,2,4,1755,439,4.36459647200536,1520464,760732,23.095,0.9263330725519046,0.8460677277861678,1.3011114473990104
target_interaction_energy_kcal_mol,1000,2,5,1756,438,4.409518386004493,1520364,760682,23.262,0.9476695756419642,0.7736830455262339,1.1120822677217974
target_interaction_energy_kcal_mol,1000,3,1,1755,439,3.5323402629001066,958032,479516,20.705,0.9518811640071014,0.7960385247737436,1.0907450787303272
target_interaction_energy_kcal_mol,1000,3,2,1755,439,3.522024494013749,958406,479703,20.275,0.9394792064087937,0.8176930431012568,1.2041663220190635
target_interaction_energy_kcal_mol,1000,3,3,1755,439,3.5383927159709856,958004,479502,20.67,0.9382163107331503,0.8260842842602094,1.2039886212308002
target_interaction_energy_kcal_mol,1000,3,4,1755,439,3.5315347929717973,959422,480211,20.588,0.9224323117114577,0.8862826027750844,1.3351149039524752
target_interaction_energy_kcal_mol,1000,3,5,1756,438,3.547152344021015,959498,480249,20.593,0.942846218279765,0.8227113374143694,1.1622037531325684
